Type;Code;Value;ActiveFrom;ActiveTo;Payload;Version;Id;SortOrder;PermissionType
classifier_group;general;Vispārējie;;;;11;9a565b1f-a9cd-418e-8e4c-e6631b92eedf;;
classifier_group;resources;Resursi;;;;11;2904c93b-b3d2-4708-98f2-dcd1f1f33c96;;
classifier_type;application_status;Pieteikuma statusi;;;"{""group"":""general""}";11;bd6112e6-b949-4d17-91dc-cf4734b4228d;;
classifier_type;pna_status;PNA statusi;;;"{""group"":""general""}";11;d0552488-4510-4f8f-b098-f02fdf72220c;;
classifier_type;document_type;Dokumentu veidi;;;"{""group"":""general""}";11;a47d7e7e-1427-42ee-90f0-910799f4f915;;
classifier_type;applicant_role;Pieteicēja loma;;;"{""group"":""general""}";11;a80c30f6-7a6c-4a06-b972-fedb8646c952;;
classifier_type;application_cancel_reason;Pieteikuma anulēšanas iemesli;;;"{""group"":""general""}";11;bbc0f699-fe1f-4617-a9df-6937dcd42343;;
classifier_type;document_tag;Dokumentu birkas;;;"{""group"":""general""}";11;fad5547d-64cd-435b-b6a4-2b719142118f;;
classifier_type;personal_data_specialist_reason_for_request;Personas datu speciālista pieprasījumu iemesli;;;"{""group"":""general""}";11;c0a6026f-6032-4882-a4a8-fe3821b26bd0;;
classifier_type;notification_type;RUMIS paziņojumu veidu klasifikators;;;"{""group"":""general""}";11;44fce97a-ade2-4a05-be5c-f48e355e47de;;
classifier_type;social_status;Sociālais statuss;;;"{""group"":""general"", ""inEServices"": true}";13;ff4a525e-9d0f-4cc7-875e-a44b26ab23fa;;
classifier_type;institution;Institūcija;;;"{""group"":""general""}";11;3c385756-cb8f-45ce-ba7b-df1031b4fc03;;
classifier_type;contact_type;Kontakta tips;;;"{""group"":""general""}";11;e04528c3-d9c2-4e4b-8def-547b6d064fe7;;
classifier_type;educational_institution_status;Izglītības iestādes statuss;;;"{""group"":""general""}";11;1104b92c-065a-46e9-94d1-630784b84615;;
classifier_type;target_group;Mērķgrupas;;;"{""group"":""resources""}";11;a346b2b7-22e5-4eb9-9596-5755f187e6f0;;
classifier_type;resource_using_purpose;Resursa izmantošanas mērķis;;;"{""group"":""resources""}";11;b6cb8d8f-a3ed-4dff-ae4f-fc3d4790be9f;;
classifier_type;resource_status;Resursa statuss;;;"{""group"":""resources""}";11;6f7b2e1f-6835-419d-a51e-c8fd841ce431;;
classifier_type;resource_location;Resursa atrašanās vieta;;;"{""group"":""resources""}";11;a0887cf1-76a8-4c9c-b583-2a353668a832;;
classifier_type;resource_return_status;Resursa atgriešanas statuss;;;"{""group"":""resources""}";11;47995a29-1f67-4710-9963-aa63295704d2;;
classifier_type;resource_body_type;Resursa korpusa veids;;;"{""group"":""resources""}";11;6c286381-2176-46bc-8f88-5de877c15089;;
classifier_type;resource_universal;ResursaUniversal;;;"{""group"":""resources""}";11;11d529c1-abe3-47c2-80b4-b356ff46efb8;;
classifier_type;resource_type;Resursa tips;;;"{""group"":""resources"", ""inEServices"": true}";13;e4eaf4ce-896e-474c-a2a0-1d186138dfd2;;
classifier_type;resource_subtype;Resursa apakštips;;;"{""group"":""resources"", ""inEServices"": true}";13;08c62fd3-610a-4f35-85fc-4bea16a6f4ca;;
classifier_type;resource_parameter_group;Resursa parametra grupa;;;"{""group"":""resources""}";11;b80ffaa0-dbae-4bfc-b2d9-6eaef59558e2;;
classifier_type;resource_parameter;Resursa parametrs;;;"{""group"":""resources""}";11;c1364674-cd8e-48f0-9fb1-d716164c57c0;;
classifier_type;resource_parameter_unit_of_measurement;Resursa parametra mērvienība;;;"{""group"":""resources""}";11;7aa9e107-4a32-4416-a0d5-32a419192bcc;;
classifier_type;resource_target_person_type;Resursa lietotāja veids;;;"{""group"":""resources""}";11;b14b7274-382c-4b8f-9a58-5fd1b3a4c9b0;;
classifier_type;resource_target_person_educational_status;Resursa izglītojamā statuss;;;"{""group"":""resources""}";11;aff1fbc7-5e7e-484f-8f1c-76ff22e8fcdc;;
classifier_type;resource_target_person_educational_sub_status;Resursa izglītības apakšstatusi;;;"{""group"":""resources""}";11;55f2fb4f-7f2d-4565-a1fe-842fca865051;;
classifier_type;resource_target_person_work_status;Resursa darbinieka statuss;;;"{""group"":""resources""}";11;571c85af-28cf-48d2-8a8e-aa4d1ee8523b;;
classifier_type;resource_group;Resursa grupa;;;"{""group"":""resources""}";24;50323bc5-6ee0-4677-a39a-925f09b45480;;EducationalInstitution
classifier_type;resource_acquisition_type;Resursa iegūšanas veids;;;"{""group"":""resources""}";11;cea352fd-b193-454f-a4aa-86bbd20437c8;;
classifier_type;resource_manufacturer;Resursa ražotājs;;;"{""group"":""resources""}";11;050b5116-cf24-40bb-8a2a-1e7a190f6e1d;;
classifier_type;resource_model_name;Resursa modeļa nosaukums;;;"{""group"":""resources""}";11;dd6aa8f1-a74b-44dc-8234-73aa22190e8f;;
classifier_type;pna_canceling_reason;Resursa nodošanas atcelšanas iemesls;;;"{""group"":""general""}";18;d74eff79-9347-4950-8b62-2504f88a5172;;
classifier_type;placeholder;Birka;;;"{""group"":""general""}";20;663f39d8-a386-4d6a-9e72-e40271e22089;;
application_status;submitted;Iesniegts;;;;15;88c9d616-c76b-49f8-9852-1e970977ee27;;
application_status;postponed;Atlikta izskatīšana;;;;15;4f8f8ea3-3e45-44e2-b2c6-348d3ad8c7af;;
application_status;confirmed;Apstiprināts;;;;15;62db47ee-cdee-4580-a519-6b728448c0f1;;
application_status;declined;Atteikts;;;;15;3707b6ec-d8d3-4b6b-b7e4-3e91c79b092e;;
application_status;withdrawn;Atsaukts;;;;15;6bea2169-5958-4d70-8183-be30a360432a;;
application_status;deleted;Dzēsts;;;;15;43f50d5c-6067-4d0a-aa91-4a0c724a8a0d;;
pna_status;preparing;Sagatave;;;;14;8144b6b9-91ce-4b87-b86a-a6b6e901a70f;;
pna_status;prepared;Sagatavots izsniegšanai;;;;14;e45ffccc-7b58-4925-bc53-01be67804d3a;;
pna_status;issued;Izsniegts;;;;14;51416a70-498a-453b-a44c-39574d69c06f;;
pna_status;returned;Atgriezts;;;;14;4cd54165-adfe-4bfb-9728-ed39e9dd0e59;;
pna_status;stolen;Nozagts;;;;14;4475e642-2cb5-4942-8f03-a9d98b31e194;;
pna_status;lost;Nozaudēts;;;;14;897b9b94-94dd-44ee-aabe-7e0bfa9ee885;;
pna_status;cancelled;Atcelts;;;;14;ee08afbe-eeff-4fa6-b250-ae7ffe87f81c;;
document_type;pna;Pieņemšanas nodošanas akts;;;;16;20f24cd9-4d00-4996-bf03-87535bb49608;;
document_type;exploitation_rules;Ekspluatācijas noteikumi;;;;23;4ff073fb-f60a-4f1c-9bb6-0bbf1e6280c5;;
document_type;hyperlink;Ārējā saite;;;;21;c95b4aa0-9a80-46ee-84a5-bf750a46c3c0;;
applicant_role;parent_guardian;Vecāks/aizbildnis;;;;11;1b2e256a-c313-4ee2-9bf7-08e878f6b58c;;
applicant_role;employee;Darbinieks;;;;11;ea709f84-0384-4203-9ae8-b9d04e9393a9;;
applicant_role;learner;Izglītojamais;;;;11;54799304-bb82-4879-8dd6-6877c748fd28;;
applicant_role;educational_institution;Izglītības iestāde;;;;11;01843867-28be-4431-9878-653fcc2417c9;;
application_cancel_reason;bought_himself;Iegādājās pats;;;;11;51bbf27e-48c3-4834-b5dc-321897fc07b4;;
