Code;Title;Content
application_deadline_changed_notification_body;Pieteikumam mainīts termiņš (saturs);"Labdien!
 
Informējam, ka resursam {{Manufacturer}} {{ModelName}}, kas piešķirts uz pieņemšanas - nodošanas akta Nr. {{PNANumber}} pamata, ir mainīts atgriešanas termiņš,
 
Resursu nepieciešams atgriezt līdz {{Deadline}}.
 
Izmaiņas veica {{EducationalInstitution}}.


Šis ir Izglītības resursu uzskaites informācijas sistēmas automatizēti sagatavots paziņojums. Lūdzam uz to neatbildēt!"
application_deadline_changed_notification_subject;Pieteikumam mainīts termiņš (tēma);Pieteikumam {{ApplicationNumber}} mainīts termiņš
application_declined_notification_body;Pieteikums noraidīts (saturs);"Labdien!
 
Informējam, ka Jūsu pieteikums Nr. {{ApplicationNumber}} par resursa {{ResourceSubType}} piešķiršanu ir atteikts.
 
Atteikumu reģistrēja {{EducationalInstitution}}.


Šis ir Izglītības resursu uzskaites informācijas sistēmas automatizēti sagatavots paziņojums. Lūdzam uz to neatbildēt!"
application_declined_notification_subject;Pieteikums noraidīts (tēma);Pieteikums {{ApplicationNumber}} noraidīts
application_deleted_notification_body;Pieteikums dzēsts (saturs);"Labdien!

Informējam, ka Jūsu pieteikums Nr. {{ApplicationNumber}} par resursu: {{ResourceSubType}} tika dzēsts.
 
Pieteikuma dzēšanu veica {{EducationalInstitution}}.


Šis ir Izglītības resursu uzskaites informācijas sistēmas automatizēti sagatavots paziņojums. Lūdzam uz to neatbildēt!"
application_deleted_notification_subject;Pieteikums dzēsts (tēma);Pieteikums {{ApplicationNumber}} dzēsts
application_submitted_notification_body;Pieteikums reģistrēts (saturs);"Labdien!

Informējam, ka Jūsu pieteikums Nr. {{ApplicationNumber}} par resursu {{ResourceSubType}} ir nosūtīts izglītības iestādei {{EducationalInstitution}}

Pieteikuma statusam varat sekot līdzi e-pakalpojuma {{ApplicationPublicUrl}} pieteikumu sarakstā.


Šis ir Izglītības resursu uzskaites informācijas sistēmas automatizēti sagatavots paziņojums. Lūdzam uz to neatbildēt!"
application_submitted_notification_subject;Pieteikums reģistrēts (tēma);Pieteikums reģistrēts
application_resource_prepared_notification_body;Pieteikuma resurss sagatavots (saturs);"Labdien!

Informējam, ka resurss {{Manufacturer}} {{ModelName}} ir gatavs izsniegšanai.

{{EducationalInstitution}} ar Jums sazināsies uz kontaktinformācijā norādīto tālruņa numuru, lai vienotos par saņemšanas kārtību.

Pirms resursa saņemšanas, lūdzam e-paklapojumā {{ApplicationPublicUrl}}, iepazīties ar pieņemšanas-nodošanas aktu un citiem saistošiem dokumentiem.


Lūdzam resursa saņemšanu apstiprināt e-pakalpojumā, izmantojot viedierīci vai datoru! Dokumenti tiks sagatavoti elektroniski un tie nebūs jāizdrukā.


Šis ir Izglītības resursu uzskaites informācijas sistēmas automatizēti sagatavots paziņojums. Lūdzam uz to neatbildēt!"
application_resource_prepared_notification_subject;Pieteikuma resurss sagatavots (tēma);Pieteikuma resurss sagatvots
